CNC Machine Opened at 07/07/2012 19:26:16
07/07/2012 19:26:37: Drill Location = (0, -43, 0); Message: Data Sent: ByE
07/07/2012 19:26:37: Drill Location = (0, -43, 0); Message: Received: D
07/07/2012 19:26:37: Drill Location = (0, -43, 0); Message: Data Sent: B
07/07/2012 19:26:37: Drill Location = (0, -43, 0); Message: Data Sent: y
07/07/2012 19:26:37: Drill Location = (0, -44, 0); Message: Data Sent: E
07/07/2012 19:26:37: Drill Location = (0, -44, 0); Message: Data Sent: ByE
07/07/2012 19:26:38: Drill Location = (0, -44, 0); Message: Received: D
07/07/2012 19:26:38: Drill Location = (0, -44, 0); Message: Data Sent: B
07/07/2012 19:26:38: Drill Location = (0, -44, 0); Message: Data Sent: y
07/07/2012 19:26:38: Drill Location = (0, -45, 0); Message: Data Sent: E
07/07/2012 19:26:38: Drill Location = (0, -45, 0); Message: Data Sent: ByE
07/07/2012 19:26:38: Drill Location = (0, -45, 0); Message: Received: D
07/07/2012 19:26:40: Drill Location = (0, -45, 0); Message: Data Sent: B
07/07/2012 19:26:40: Drill Location = (0, -45, 0); Message: Data Sent: y
07/07/2012 19:26:40: Drill Location = (0, -46, 0); Message: Data Sent: E
07/07/2012 19:26:40: Drill Location = (0, -46, 0); Message: Data Sent: ByE
07/07/2012 19:26:40: Drill Location = (0, -46, 0); Message: Received: D
07/07/2012 19:26:40: Drill Location = (0, -46, 0); Message: Data Sent: B
07/07/2012 19:26:40: Drill Location = (0, -46, 0); Message: Data Sent: y
07/07/2012 19:26:40: Drill Location = (0, -47, 0); Message: Data Sent: E
07/07/2012 19:26:40: Drill Location = (0, -47, 0); Message: Data Sent: ByE
07/07/2012 19:26:41: Drill Location = (0, -47, 0); Message: Data Sent: B
07/07/2012 19:26:41: Drill Location = (0, -47, 0); Message: Data Sent: y
07/07/2012 19:26:41: Drill Location = (0, -48, 0); Message: Data Sent: E
07/07/2012 19:26:41: Drill Location = (0, -48, 0); Message: Data Sent: ByE
07/07/2012 19:26:41: Drill Location = (0, -48, 0); Message: Received: D
07/07/2012 19:26:41: Drill Location = (0, -48, 0); Message: Data Sent: B
07/07/2012 19:26:41: Drill Location = (0, -48, 0); Message: Data Sent: y
07/07/2012 19:26:41: Drill Location = (0, -49, 0); Message: Data Sent: E
07/07/2012 19:26:41: Drill Location = (0, -49, 0); Message: Data Sent: ByE
07/07/2012 19:26:41: Drill Location = (0, -49, 0); Message: Received: D
07/07/2012 19:26:41: Drill Location = (0, -49, 0); Message: Data Sent: B
07/07/2012 19:26:41: Drill Location = (0, -49, 0); Message: Data Sent: y
07/07/2012 19:26:41: Drill Location = (0, -50, 0); Message: Data Sent: E
07/07/2012 19:26:41: Drill Location = (0, -50, 0); Message: Data Sent: ByE
07/07/2012 19:26:42: Drill Location = (0, -50, 0); Message: Received: D
07/07/2012 19:26:42: Drill Location = (0, -50, 0); Message: Data Sent: B
07/07/2012 19:26:42: Drill Location = (0, -50, 0); Message: Data Sent: y
07/07/2012 19:26:42: Drill Location = (0, -51, 0); Message: Data Sent: E
07/07/2012 19:26:42: Drill Location = (0, -51, 0); Message: Data Sent: ByE
07/07/2012 19:26:42: Drill Location = (0, -51, 0); Message: Received: D
07/07/2012 19:26:42: Drill Location = (0, -51, 0); Message: Data Sent: B
07/07/2012 19:26:42: Drill Location = (0, -51, 0); Message: Data Sent: y
07/07/2012 19:26:42: Drill Location = (0, -52, 0); Message: Data Sent: E
07/07/2012 19:26:42: Drill Location = (0, -52, 0); Message: Data Sent: ByE
07/07/2012 19:26:42: Drill Location = (0, -52, 0); Message: Received: D
07/07/2012 19:26:43: Drill Location = (0, -52, 0); Message: Data Sent: B
07/07/2012 19:26:43: Drill Location = (0, -52, 0); Message: Data Sent: y
07/07/2012 19:26:43: Drill Location = (0, -53, 0); Message: Data Sent: E
07/07/2012 19:26:43: Drill Location = (0, -53, 0); Message: Data Sent: ByE
07/07/2012 19:26:43: Drill Location = (0, -53, 0); Message: Received: D
07/07/2012 19:26:43: Drill Location = (0, -53, 0); Message: Data Sent: B
07/07/2012 19:26:43: Drill Location = (0, -53, 0); Message: Data Sent: y
07/07/2012 19:26:43: Drill Location = (0, -54, 0); Message: Data Sent: E
07/07/2012 19:26:43: Drill Location = (0, -54, 0); Message: Data Sent: ByE
07/07/2012 19:26:43: Drill Location = (0, -54, 0); Message: Received: D
07/07/2012 19:26:43: Drill Location = (0, -54, 0); Message: Data Sent: B
07/07/2012 19:26:43: Drill Location = (0, -54, 0); Message: Data Sent: y
07/07/2012 19:26:43: Drill Location = (0, -55, 0); Message: Data Sent: E
07/07/2012 19:26:43: Drill Location = (0, -55, 0); Message: Data Sent: ByE
07/07/2012 19:26:44: Drill Location = (0, -55, 0); Message: Received: D
07/07/2012 19:26:44: Drill Location = (0, -55, 0); Message: Data Sent: B
07/07/2012 19:26:44: Drill Location = (0, -55, 0); Message: Data Sent: y
07/07/2012 19:26:44: Drill Location = (0, -56, 0); Message: Data Sent: E
07/07/2012 19:26:44: Drill Location = (0, -56, 0); Message: Data Sent: ByE
07/07/2012 19:26:44: Drill Location = (0, -56, 0); Message: Received: D
07/07/2012 19:26:44: Drill Location = (0, -56, 0); Message: Data Sent: y
07/07/2012 19:26:44: Drill Location = (0, -57, 0); Message: Data Sent: E
07/07/2012 19:26:44: Drill Location = (0, -57, 0); Message: Data Sent: ByE
07/07/2012 19:26:44: Drill Location = (0, -57, 0); Message: Received: D
07/07/2012 19:26:44: Drill Location = (0, -57, 0); Message: Data Sent: B
07/07/2012 19:26:44: Drill Location = (0, -57, 0); Message: Data Sent: y
07/07/2012 19:26:44: Drill Location = (0, -58, 0); Message: Data Sent: E
07/07/2012 19:26:44: Drill Location = (0, -58, 0); Message: Data Sent: ByE
07/07/2012 19:26:45: Drill Location = (0, -58, 0); Message: Received: D
07/07/2012 19:26:45: Drill Location = (0, -58, 0); Message: Data Sent: B
07/07/2012 19:26:45: Drill Location = (0, -58, 0); Message: Data Sent: y
07/07/2012 19:26:45: Drill Location = (0, -59, 0); Message: Data Sent: E
07/07/2012 19:26:45: Drill Location = (0, -59, 0); Message: Data Sent: ByE
07/07/2012 19:26:45: Drill Location = (0, -59, 0); Message: Received: D
07/07/2012 19:26:45: Drill Location = (0, -59, 0); Message: Data Sent: B
07/07/2012 19:26:45: Drill Location = (0, -59, 0); Message: Data Sent: y
07/07/2012 19:26:45: Drill Location = (0, -60, 0); Message: Data Sent: E
07/07/2012 19:26:45: Drill Location = (0, -60, 0); Message: Data Sent: ByE
07/07/2012 19:26:45: Drill Location = (0, -60, 0); Message: Received: D
07/07/2012 19:26:45: Drill Location = (0, -60, 0); Message: Data Sent: B
07/07/2012 19:26:45: Drill Location = (0, -60, 0); Message: Data Sent: y
07/07/2012 19:26:45: Drill Location = (0, -61, 0); Message: Data Sent: E
07/07/2012 19:26:45: Drill Location = (0, -61, 0); Message: Data Sent: ByE
07/07/2012 19:26:46: Drill Location = (0, -61, 0); Message: Received: D
07/07/2012 19:26:46: Drill Location = (0, -61, 0); Message: Data Sent: B
07/07/2012 19:26:46: Drill Location = (0, -61, 0); Message: Data Sent: y
07/07/2012 19:26:46: Drill Location = (0, -62, 0); Message: Data Sent: E
07/07/2012 19:26:46: Drill Location = (0, -62, 0); Message: Data Sent: ByE
07/07/2012 19:26:46: Drill Location = (0, -62, 0); Message: Received: D
07/07/2012 19:26:46: Drill Location = (0, -62, 0); Message: Data Sent: B
07/07/2012 19:26:46: Drill Location = (0, -62, 0); Message: Data Sent: y
07/07/2012 19:26:46: Drill Location = (0, -63, 0); Message: Data Sent: E
07/07/2012 19:26:46: Drill Location = (0, -63, 0); Message: Data Sent: ByE
07/07/2012 19:26:46: Drill Location = (0, -63, 0); Message: Received: D
07/07/2012 19:26:46: Drill Location = (0, -63, 0); Message: Data Sent: B
07/07/2012 19:26:46: Drill Location = (0, -63, 0); Message: Data Sent: y
07/07/2012 19:26:46: Drill Location = (0, -64, 0); Message: Data Sent: E
07/07/2012 19:26:46: Drill Location = (0, -64, 0); Message: Data Sent: ByE
07/07/2012 19:26:47: Drill Location = (0, -64, 0); Message: Received: D
07/07/2012 19:26:47: Drill Location = (0, -64, 0); Message: Data Sent: B
07/07/2012 19:26:47: Drill Location = (0, -64, 0); Message: Data Sent: y
07/07/2012 19:26:47: Drill Location = (0, -65, 0); Message: Data Sent: E
07/07/2012 19:26:47: Drill Location = (0, -65, 0); Message: Data Sent: ByE
07/07/2012 19:26:47: Drill Location = (0, -65, 0); Message: Received: D
07/07/2012 19:26:47: Drill Location = (0, -65, 0); Message: Data Sent: B
07/07/2012 19:26:47: Drill Location = (0, -65, 0); Message: Data Sent: y
07/07/2012 19:26:47: Drill Location = (0, -66, 0); Message: Data Sent: E
07/07/2012 19:26:47: Drill Location = (0, -66, 0); Message: Data Sent: ByE
07/07/2012 19:26:47: Drill Location = (0, -66, 0); Message: Received: D
07/07/2012 19:26:48: Drill Location = (0, -66, 0); Message: Data Sent: B
07/07/2012 19:26:48: Drill Location = (0, -66, 0); Message: Data Sent: y
07/07/2012 19:26:48: Drill Location = (0, -67, 0); Message: Data Sent: E
07/07/2012 19:26:48: Drill Location = (0, -67, 0); Message: Data Sent: ByE
07/07/2012 19:26:48: Drill Location = (0, -67, 0); Message: Received: D
07/07/2012 19:26:48: Drill Location = (0, -67, 0); Message: Data Sent: B
07/07/2012 19:26:48: Drill Location = (0, -67, 0); Message: Data Sent: y
07/07/2012 19:26:48: Drill Location = (0, -68, 0); Message: Data Sent: E
07/07/2012 19:26:48: Drill Location = (0, -68, 0); Message: Data Sent: ByE
07/07/2012 19:26:48: Drill Location = (0, -68, 0); Message: Received: D
07/07/2012 19:26:48: Drill Location = (0, -68, 0); Message: Data Sent: B
07/07/2012 19:26:48: Drill Location = (0, -68, 0); Message: Data Sent: y
07/07/2012 19:26:48: Drill Location = (0, -69, 0); Message: Data Sent: E
07/07/2012 19:26:48: Drill Location = (0, -69, 0); Message: Data Sent: ByE
07/07/2012 19:26:49: Drill Location = (0, -69, 0); Message: Received: D
07/07/2012 19:26:49: Drill Location = (0, -69, 0); Message: Data Sent: B
07/07/2012 19:26:49: Drill Location = (0, -69, 0); Message: Data Sent: y
07/07/2012 19:26:49: Drill Location = (0, -70, 0); Message: Data Sent: E
07/07/2012 19:26:49: Drill Location = (0, -70, 0); Message: Data Sent: ByE
07/07/2012 19:26:49: Drill Location = (0, -70, 0); Message: Received: D
07/07/2012 19:26:49: Drill Location = (0, -70, 0); Message: Data Sent: B
07/07/2012 19:26:49: Drill Location = (0, -70, 0); Message: Data Sent: y
07/07/2012 19:26:49: Drill Location = (0, -71, 0); Message: Data Sent: E
07/07/2012 19:26:49: Drill Location = (0, -71, 0); Message: Data Sent: ByE
07/07/2012 19:26:49: Drill Location = (0, -71, 0); Message: Received: D
07/07/2012 19:26:49: Drill Location = (0, -71, 0); Message: Data Sent: B
07/07/2012 19:26:49: Drill Location = (0, -71, 0); Message: Data Sent: y
07/07/2012 19:26:49: Drill Location = (0, -72, 0); Message: Data Sent: E
07/07/2012 19:26:49: Drill Location = (0, -72, 0); Message: Data Sent: ByE
07/07/2012 19:26:50: Drill Location = (0, -72, 0); Message: Received: D
07/07/2012 19:26:50: Drill Location = (0, -72, 0); Message: Data Sent: B
07/07/2012 19:26:50: Drill Location = (0, -72, 0); Message: Data Sent: y
