CNC Machine Opened at 07/07/2012 18:38:16
07/07/2012 18:39:06: Drill Location = (0, 0, 27); Message: Data Sent: B
07/07/2012 18:39:06: Drill Location = (0, 0, 27); Message: Data Sent: Z
07/07/2012 18:39:06: Drill Location = (0, 0, 28); Message: Data Sent: E
07/07/2012 18:39:06: Drill Location = (0, 0, 28); Message: Data Sent: BZE
07/07/2012 18:39:06: Drill Location = (0, 0, 28); Message: Received: D
07/07/2012 18:39:07: Drill Location = (0, 0, 28); Message: Data Sent: B
07/07/2012 18:39:07: Drill Location = (0, 0, 28); Message: Data Sent: Z
07/07/2012 18:39:07: Drill Location = (0, 0, 29); Message: Data Sent: E
07/07/2012 18:39:07: Drill Location = (0, 0, 29); Message: Data Sent: BZE
07/07/2012 18:39:07: Drill Location = (0, 0, 29); Message: Received: D
07/07/2012 18:39:07: Drill Location = (0, 0, 29); Message: Data Sent: B
07/07/2012 18:39:07: Drill Location = (0, 0, 29); Message: Data Sent: Z
07/07/2012 18:39:07: Drill Location = (0, 0, 30); Message: Data Sent: E
07/07/2012 18:39:07: Drill Location = (0, 0, 30); Message: Data Sent: BZE
07/07/2012 18:39:08: Drill Location = (0, 0, 30); Message: Received: D
07/07/2012 18:39:08: Drill Location = (0, 0, 30); Message: Data Sent: B
07/07/2012 18:39:08: Drill Location = (0, 0, 30); Message: Data Sent: Z
07/07/2012 18:39:08: Drill Location = (0, 0, 31); Message: Data Sent: E
07/07/2012 18:39:08: Drill Location = (0, 0, 31); Message: Data Sent: BZE
07/07/2012 18:39:08: Drill Location = (0, 0, 31); Message: Received: D
07/07/2012 18:39:09: Drill Location = (0, 0, 31); Message: Data Sent: B
07/07/2012 18:39:09: Drill Location = (0, 0, 31); Message: Data Sent: Z
07/07/2012 18:39:09: Drill Location = (0, 0, 32); Message: Data Sent: E
07/07/2012 18:39:09: Drill Location = (0, 0, 32); Message: Data Sent: BZE
07/07/2012 18:39:09: Drill Location = (0, 0, 32); Message: Received: D
07/07/2012 18:39:09: Drill Location = (0, 0, 32); Message: Data Sent: B
07/07/2012 18:39:09: Drill Location = (0, 0, 32); Message: Data Sent: Z
07/07/2012 18:39:09: Drill Location = (0, 0, 33); Message: Data Sent: E
07/07/2012 18:39:09: Drill Location = (0, 0, 33); Message: Data Sent: BZE
07/07/2012 18:39:09: Drill Location = (0, 0, 33); Message: Received: D
07/07/2012 18:39:10: Drill Location = (0, 0, 33); Message: Data Sent: B
07/07/2012 18:39:10: Drill Location = (0, 0, 33); Message: Data Sent: Z
07/07/2012 18:39:10: Drill Location = (0, 0, 34); Message: Data Sent: E
07/07/2012 18:39:10: Drill Location = (0, 0, 34); Message: Data Sent: BZE
07/07/2012 18:39:10: Drill Location = (0, 0, 34); Message: Received: D
07/07/2012 18:39:10: Drill Location = (0, 0, 34); Message: Data Sent: B
07/07/2012 18:39:10: Drill Location = (0, 0, 34); Message: Data Sent: Z
07/07/2012 18:39:10: Drill Location = (0, 0, 35); Message: Data Sent: E
